Time (CAT);Open;High;Low;Close;Volume 
08/05/2017 23:00:00;1657.3;1752.6;1622.6;1746.3;186294
09/05/2017 23:00:00;1711.4;1766.2;1669.8;1751.9;275740
10/05/2017 23:00:00;1779.7;1886.1;1775.6;1853.8;234748
11/05/2017 23:00:00;1829.7;1829.7;1650.7;1690.8;372004
14/05/2017 23:00:00;1798.9;1801.9;1711.3;1726.2;193562
15/05/2017 23:00:00;1739.8;1781.9;1709.5;1769.2;317212
16/05/2017 23:00:00;1769.2;1853.1;1743.1;1816.7;610880
17/05/2017 23:00:00;1812;1883.1;1793.6;1881.9;406754
18/05/2017 23:00:00;1882.1;1961.6;1852.2;1937.8;300444
21/05/2017 23:00:00;2020.2;2298;1993.9;2148.3;424925.6096
22/05/2017 23:00:00;2148.8;2269.6;1972.6;2215.4;369016
23/05/2017 23:00:00;2233;2435;2190.4;2429.8;331720
24/05/2017 23:00:00;2420.5;2799;2205.8;2462.5;398528
25/05/2017 23:00:00;2471.9;2661.5;2241.4;2241.6;358646.0759
28/05/2017 23:00:00;2117.1;2340.5;2089.7;2306.3;655265.8013
29/05/2017 23:00:00;2307.5;2352.6;2200.2;2248.4;733260
30/05/2017 23:00:00;2258.8;2335.7;2129.4;2285.3;718478
31/05/2017 23:00:00;2285.2;2475.2;2276.6;2409.4;398534
01/06/2017 23:00:00;2411.1;2449;2367.7;2429.9;324521.842
04/06/2017 23:00:00;2505.1;2629.1;2500.8;2624.5;229042
05/06/2017 23:00:00;2690;2938.5;2670.8;2870;335118
06/06/2017 23:00:00;2870;2882.4;2733.5;2738.6;434036
07/06/2017 23:00:00;2738.5;2811.9;2609.3;2749.1;413302
08/06/2017 23:00:00;2749.1;2860.4;2747.7;2834.5;229352.8333
11/06/2017 23:00:00;2922.7;3000;2426.7;2523.6;213870
12/06/2017 23:00:00;2654;2784.5;2632;2700.4;319926
13/06/2017 23:00:00;2700.7;2811.1;2521.8;2552.1;203206
14/06/2017 23:00:00;2552.1;2556.9;2075.1;2360.3;376050
15/06/2017 23:00:00;2359.5;2520.7;2302.5;2487.9;387844
18/06/2017 23:00:00;2470;2585.4;2458.2;2580;403002
19/06/2017 23:00:00;2597;2772.1;2583.7;2749.6;329174
20/06/2017 23:00:00;2749.6;2780;2636.5;2658.3;277940
21/06/2017 23:00:00;2658.4;2728.6;2569.3;2671.3;336696
22/06/2017 23:00:00;2671.4;2734.1;2664.1;2707;333944
25/06/2017 23:00:00;2472.5;2556;2252.6;2344.2;320084
26/06/2017 23:00:00;2345.2;2470;2264.4;2456.2;430844
27/06/2017 23:00:00;2456.5;2596.4;2427.9;2592.2;315552
28/06/2017 23:00:00;2592.2;2602.3;2502.4;2557.8;333906
29/06/2017 23:00:00;2554.6;2566.4;2478.2;2501.6;277528
02/07/2017 23:00:00;2496.6;2584.6;2471.4;2557.5;263482
03/07/2017 23:00:00;2557.5;2637.4;2543.9;2574.6;258820
04/07/2017 23:00:00;2574;2621.6;2537.5;2609.5;264014
05/07/2017 23:00:00;2609.5;2629.2;2578.4;2597.3;267110
06/07/2017 23:00:00;2597.3;2609.4;2486.7;2514.9;248322
09/07/2017 23:00:00;2527.1;2539.2;2349.1;2384.2;250030
10/07/2017 23:00:00;2383.9;2408.4;2254.1;2327.8;317810
11/07/2017 23:00:00;2328.2;2413;2241.8;2375.2;337268
12/07/2017 23:00:00;2375.4;2417.5;2307.1;2336.7;320260
13/07/2017 23:00:00;2336.6;2352.1;2150.3;2157.9;338200
16/07/2017 23:00:00;1865.2;2179.7;1854.8;2173.8;257790
