Time (CAT);Open;High;Low;Close;Volume 
01/01/2015 00:00:00;1.55739;1.55739;1.55711;1.55711;3
02/01/2015 00:00:00;1.55783;1.55871;1.53252;1.53252;214767.08
05/01/2015 00:00:00;1.53002;1.53193;1.51535;1.52472;210874.67
06/01/2015 00:00:00;1.52474;1.52739;1.51408;1.51502;215543.15
07/01/2015 00:00:00;1.51504;1.5155;1.5055;1.51098;236548.29
08/01/2015 00:00:00;1.51098;1.51176;1.50342;1.50887;189452.26
09/01/2015 00:00:00;1.50887;1.51755;1.50771;1.51554;205007.82
12/01/2015 00:00:00;1.51766;1.51933;1.50985;1.51712;208299.9
13/01/2015 00:00:00;1.51712;1.51916;1.50773;1.5158;207332.2
14/01/2015 00:00:00;1.51581;1.52689;1.51449;1.52304;256371.6
15/01/2015 00:00:00;1.52316;1.52666;1.51499;1.51793;297616.7
16/01/2015 00:00:00;1.51793;1.52344;1.50752;1.5137;200198.14
19/01/2015 00:00:00;1.5127;1.5179;1.51079;1.5111;134370.03
20/01/2015 00:00:00;1.51105;1.51995;1.50572;1.51426;185952.59
21/01/2015 00:00:00;1.51421;1.5179;1.50761;1.51413;259502.89
22/01/2015 00:00:00;1.51416;1.52122;1.4972;1.50084;288890.05
23/01/2015 00:00:00;1.50084;1.50356;1.49511;1.49855;301982.84
26/01/2015 00:00:00;1.50076;1.5103;1.49865;1.50784;219927.28
27/01/2015 00:00:00;1.50784;1.52235;1.50593;1.51961;254842.99
28/01/2015 00:00:00;1.51961;1.52185;1.51306;1.51357;226827.97
29/01/2015 00:00:00;1.51357;1.51622;1.50181;1.50642;240948.76
30/01/2015 00:00:00;1.50642;1.50959;1.49887;1.50594;225106.7
02/02/2015 00:00:00;1.50898;1.50969;1.50054;1.50383;218832.15
03/02/2015 00:00:00;1.50381;1.51975;1.49883;1.51649;242303.94
04/02/2015 00:00:00;1.51649;1.52506;1.5139;1.51791;233831.73
05/02/2015 00:00:00;1.51796;1.53431;1.51649;1.53273;232999.25
06/02/2015 00:00:00;1.53273;1.53521;1.52113;1.52363;227826
09/02/2015 00:00:00;1.52252;1.52671;1.52004;1.52148;265107.96
10/02/2015 00:00:00;1.5215;1.52758;1.51961;1.52526;234161.19
11/02/2015 00:00:00;1.52525;1.52994;1.52188;1.52307;204474.61
12/02/2015 00:00:00;1.52305;1.54146;1.52088;1.53827;309306.16
13/02/2015 00:00:00;1.53827;1.5422;1.53708;1.53837;224623.7
16/02/2015 00:00:00;1.54225;1.54405;1.53391;1.53603;198071.09
17/02/2015 00:00:00;1.53602;1.54021;1.5316;1.53513;195213.58
18/02/2015 00:00:00;1.53514;1.54794;1.53415;1.54345;255943.07
19/02/2015 00:00:00;1.54345;1.54653;1.54038;1.54129;213517.63
20/02/2015 00:00:00;1.54134;1.54338;1.53434;1.53917;268973.17
23/02/2015 00:00:00;1.53955;1.54744;1.53323;1.54557;208965.79
24/02/2015 00:00:00;1.54557;1.54738;1.54016;1.54513;203101.92
25/02/2015 00:00:00;1.54513;1.55384;1.54461;1.55276;206386.85
26/02/2015 00:00:00;1.55273;1.55519;1.53938;1.54033;254218.47
27/02/2015 00:00:00;1.54032;1.54587;1.53841;1.54319;236661.01
02/03/2015 00:00:00;1.54165;1.5428;1.53513;1.53649;186720.41
03/03/2015 00:00:00;1.53642;1.53975;1.53443;1.53589;186649.67
04/03/2015 00:00:00;1.53577;1.53715;1.52517;1.52628;207805.62
05/03/2015 00:00:00;1.52627;1.52692;1.5215;1.52378;218466.5
06/03/2015 00:00:00;1.52379;1.5255;1.50317;1.50332;243199.03
08/03/2015 23:00:00;1.50337;1.51368;1.50304;1.51271;220315.21
09/03/2015 23:00:00;1.51271;1.51312;1.50283;1.50666;307620.1
10/03/2015 23:00:00;1.50663;1.50962;1.48926;1.49272;360324.08
11/03/2015 23:00:00;1.49275;1.50265;1.48497;1.48817;281588.69
12/03/2015 23:00:00;1.48817;1.48966;1.47;1.47412;263239.02
15/03/2015 23:00:00;1.47387;1.48529;1.47313;1.4827;200638.7
16/03/2015 23:00:00;1.4827;1.4845;1.47238;1.47477;206832.38
17/03/2015 23:00:00;1.47477;1.51611;1.46347;1.49771;246604.62
18/03/2015 23:00:00;1.49759;1.50094;1.46878;1.47499;333822.2
19/03/2015 23:00:00;1.47494;1.49888;1.47218;1.49594;260412.36
22/03/2015 23:00:00;1.49676;1.49883;1.48383;1.49501;298246.49
23/03/2015 23:00:00;1.49501;1.49837;1.48424;1.48489;289538.99
24/03/2015 23:00:00;1.48485;1.49543;1.48306;1.48806;260622.07
25/03/2015 23:00:00;1.488;1.49941;1.48065;1.48475;302650.37
26/03/2015 23:00:00;1.48479;1.49217;1.47963;1.48751;302127.63
29/03/2015 23:00:00;1.48838;1.49006;1.47522;1.48094;295089.83
30/03/2015 23:00:00;1.48105;1.48712;1.4755;1.48155;310175.19
31/03/2015 23:00:00;1.48152;1.48711;1.47394;1.4822;285230.72
01/04/2015 23:00:00;1.48214;1.48683;1.47755;1.48266;261942.69
02/04/2015 23:00:00;1.48266;1.49442;1.481;1.49089;138682.39
05/04/2015 23:00:00;1.49148;1.4981;1.48699;1.48749;127305.62
06/04/2015 23:00:00;1.48749;1.49203;1.48027;1.48067;257548.32
07/04/2015 23:00:00;1.48064;1.4972;1.48058;1.48652;263279.42
08/04/2015 23:00:00;1.48649;1.48858;1.4684;1.47116;249892.89
09/04/2015 23:00:00;1.47116;1.47245;1.45869;1.46318;229929.98
12/04/2015 23:00:00;1.46172;1.46811;1.45656;1.46732;244579.34
13/04/2015 23:00:00;1.46738;1.48014;1.46031;1.47782;276729.6
14/04/2015 23:00:00;1.47781;1.48531;1.47003;1.48406;244478.27
15/04/2015 23:00:00;1.48406;1.49698;1.48119;1.49306;278941.56
16/04/2015 23:00:00;1.49306;1.50535;1.49159;1.49584;300666.79
19/04/2015 23:00:00;1.49553;1.49834;1.48876;1.4904;259940.4
20/04/2015 23:00:00;1.49033;1.49726;1.48562;1.49252;227431.48
21/04/2015 23:00:00;1.49243;1.50794;1.49134;1.50352;294932.53
22/04/2015 23:00:00;1.50352;1.50699;1.49595;1.5053;284407.46
23/04/2015 23:00:00;1.50529;1.51876;1.50271;1.51865;269717.05
26/04/2015 23:00:00;1.51731;1.52611;1.51067;1.52368;228118.81
27/04/2015 23:00:00;1.52368;1.53426;1.51746;1.53379;252158.91
28/04/2015 23:00:00;1.53381;1.54978;1.53276;1.54355;332170
29/04/2015 23:00:00;1.54352;1.54919;1.53035;1.53512;356114.66
30/04/2015 23:00:00;1.53513;1.5397;1.5114;1.51344;236154.66
03/05/2015 23:00:00;1.51391;1.51744;1.50899;1.51185;160732.24
04/05/2015 23:00:00;1.51185;1.52182;1.50889;1.51806;296422.9
05/05/2015 23:00:00;1.51806;1.52911;1.51497;1.52434;298837.25
06/05/2015 23:00:00;1.5243;1.52749;1.51632;1.52424;338799.67
07/05/2015 23:00:00;1.52454;1.5522;1.52369;1.54524;389856.36
10/05/2015 23:00:00;1.5443;1.56127;1.53928;1.55844;300877.49
11/05/2015 23:00:00;1.55844;1.57102;1.55571;1.56687;278811.32
12/05/2015 23:00:00;1.56684;1.57687;1.56331;1.5744;308956.72
13/05/2015 23:00:00;1.5744;1.58144;1.5728;1.57753;297647.84
14/05/2015 23:00:00;1.57753;1.58082;1.57011;1.57286;294476.97
17/05/2015 23:00:00;1.5741;1.5745;1.56379;1.56521;216840.02
18/05/2015 23:00:00;1.56522;1.56695;1.54463;1.55092;295500.13
19/05/2015 23:00:00;1.55115;1.55875;1.54721;1.55341;256314.49
20/05/2015 23:00:00;1.55343;1.56996;1.55249;1.5661;155006.12
21/05/2015 23:00:00;1.56599;1.56896;1.54599;1.54789;153078.78
24/05/2015 23:00:00;1.54728;1.55073;1.54561;1.54674;91468.17
25/05/2015 23:00:00;1.54673;1.54751;1.53537;1.53831;147614.01
26/05/2015 23:00:00;1.53835;1.54371;1.5301;1.53515;143069.53
27/05/2015 23:00:00;1.53515;1.53855;1.526;1.53141;140640.66
28/05/2015 23:00:00;1.53137;1.5342;1.52361;1.52899;154773.78
31/05/2015 23:00:00;1.5292;1.53044;1.51699;1.52001;154633.53
01/06/2015 23:00:00;1.52001;1.53669;1.51795;1.5343;167945.34
02/06/2015 23:00:00;1.5343;1.53748;1.52507;1.53391;170346.04
03/06/2015 23:00:00;1.53396;1.54415;1.53038;1.53628;157511.75
04/06/2015 23:00:00;1.53626;1.53698;1.51899;1.52634;160201.69
07/06/2015 23:00:00;1.52553;1.53639;1.52211;1.53476;146556.19
08/06/2015 23:00:00;1.53476;1.53889;1.52571;1.53836;162440.41
09/06/2015 23:00:00;1.53835;1.55534;1.53687;1.5529;179018.08
10/06/2015 23:00:00;1.55296;1.55338;1.54212;1.5516;145412.76
11/06/2015 23:00:00;1.55158;1.55979;1.54662;1.55558;161123.49
14/06/2015 23:00:00;1.55446;1.56136;1.54872;1.55998;141796.3
15/06/2015 23:00:00;1.5601;1.56538;1.55416;1.56463;143678.85
16/06/2015 23:00:00;1.56463;1.58468;1.56251;1.58306;159138.56
17/06/2015 23:00:00;1.58304;1.59294;1.58056;1.58771;162883.86
18/06/2015 23:00:00;1.58777;1.58967;1.58351;1.58821;116516.58
21/06/2015 23:00:00;1.58679;1.59096;1.5805;1.58237;117074.8
22/06/2015 23:00:00;1.58237;1.5831;1.57085;1.57292;133517.46
23/06/2015 23:00:00;1.57302;1.58026;1.56666;1.57033;126443.73
24/06/2015 23:00:00;1.57021;1.57703;1.56765;1.57481;119602.51
25/06/2015 23:00:00;1.57482;1.57668;1.57083;1.57398;107655.37
28/06/2015 23:00:00;1.56934;1.57889;1.56621;1.5736;159605.07
29/06/2015 23:00:00;1.57363;1.57754;1.56923;1.57135;144936.2
30/06/2015 23:00:00;1.57115;1.57334;1.55878;1.56153;149252.04
01/07/2015 23:00:00;1.56153;1.56396;1.55618;1.56068;131782.1
02/07/2015 23:00:00;1.56068;1.56439;1.55545;1.55665;120511.29
05/07/2015 23:00:00;1.55477;1.56282;1.55302;1.56013;140719.24
06/07/2015 23:00:00;1.56013;1.56081;1.54135;1.54613;163700.57
07/07/2015 23:00:00;1.54619;1.54666;1.53298;1.53605;158946.72
08/07/2015 23:00:00;1.53602;1.54203;1.53432;1.53795;153459.34
09/07/2015 23:00:00;1.53795;1.55509;1.53637;1.55061;179043.54
12/07/2015 23:00:00;1.55001;1.55888;1.54807;1.54844;178330.57
13/07/2015 23:00:00;1.54845;1.56385;1.54504;1.56352;174411.37
14/07/2015 23:00:00;1.56352;1.56753;1.55765;1.5637;184216.13
15/07/2015 23:00:00;1.56374;1.56503;1.55601;1.56064;186539.69
16/07/2015 23:00:00;1.56078;1.56725;1.55531;1.56015;136354.28
19/07/2015 23:00:00;1.55871;1.56273;1.55378;1.55598;131716.7736
20/07/2015 23:00:00;1.55591;1.55904;1.55289;1.55528;157506.52
21/07/2015 23:00:00;1.55523;1.56465;1.55445;1.56117;157184.03
22/07/2015 23:00:00;1.56117;1.56706;1.55008;1.55114;137965.65
23/07/2015 23:00:00;1.55114;1.55259;1.54667;1.55049;103168.8
26/07/2015 23:00:00;1.55118;1.55949;1.54905;1.55578;128435.34
27/07/2015 23:00:00;1.55578;1.5628;1.55279;1.5611;114639.46
28/07/2015 23:00:00;1.5611;1.56898;1.55877;1.55961;116726.68
29/07/2015 23:00:00;1.55952;1.56412;1.55625;1.55991;113281.47
30/07/2015 23:00:00;1.55979;1.56778;1.55491;1.56146;127366.8
02/08/2015 23:00:00;1.56314;1.56447;1.55651;1.5584;94545.61
